Trial_no;File_name;ground_truth;width;body_angle;gaze_score;Obstruction_distance
1;Bas_IWE_t1;1;3;175;0,9076;2,26
2;Bas_IWE_t2;1;3;185;0,65;2,2
3;Bas_IWE_t3;1;3;170;0,77;1,16
4;Bas_IWE_t4;1;3;170;0,989;1,2
5;Bas_IWE_t5;1;3;170;0,983;1,07
6;Harinni_IWE_t1;1;3;195;0,9022;2,08
7;Harinni_IWE_t2;1;3;235;0,9865;2,4
8;Harinni_IWE_t3;1;3;185;0,96722;0,86
9;Harinni_IWE_t4;1;3;160;0,67;1,7
10;Harinni_IWE_t5;1;3;190;0,999;1,458
11;Jarich__IWE_t1;1;3;185;0,9345;1,96
12;Jarich__IWE_t2;1;3;170;0,82;1,97
13;Jarich__IWE_t3;1;3;200;0,88;1,6
14;Jarich__IWE_t4;1;3;200;0,9942;1,64
15;Jarich__IWE_t5;1;3;165;0,88;2,3
16;Jasper__IWE_t1;1;3;185;0,9143;2,6
17;Jasper__IWE_t2;1;3;185;0,9505;2,2
18;Jasper__IWE_t3;1;3;160;0,9919;2,26
19;Jasper__IWE_t4;1;3;185;0,99105;1,162
20;Jasper__IWE_t5;1;3;185;0,88501;0,749
21;Sjoerd__IWE_t1;1;3;160;0,8521;2,09
22;Sjoerd__IWE_t2;1;3;180;0,8303;1,407033
23;Sjoerd__IWE_t3;1;3;180;0,91745;1,7413
24;Sjoerd__IWE_t4;1;3;175;0,977;1,73646
25;Sjoerd__IWE_t5;1;3;175;0,89;1,78
26;rafat_IWE_t1;1;3;180;0,99458;1,6926
27;rafat_IWE_t2;1;3;185;0,97;1,83
28;rafat_IWE_t3;1;3;160;0,946166;1,897
29;rafat_IWE_t4;1;3;185;0,992755;1,98631
30;rafat_IWE_t5;1;3;185;0,98939;1,607028
31;rafat_IWE_t6;1;3;185;0,96688;1,74
32;rafat_IWE_t7;1;3;190;0,95213;1,9528
33;rafat_IWE_t8;1;3;190;0,99221;1,956
34;rafat_IWE_t9;1;3;180;0,97266;1,91899
35;rafat_IWE_t10;1;3;180;0,91007;1,9713
36;Bas_IOE_t1;1;1,5;185;0,9022;0,872
37;Bas_IOE_t2;1;1,5;180;0,95256;1,90599
38;Bas_IOE_t3;1;1,5;180;0,95356;1,90623
39;Bas_IOE_t4;1;1,5;185;0,97;1,9484306
40;Bas_IOE_t5;1;1,5;190;0,97155843;1,42151623
41;Harinni_IOE_t1;1;1,5;170;0,95699;1,2938
42;Harinni_IOE_t2;1;1,5;190;0,446;1,1735
43;Harinni_IOE_t3;1;1,5;185;0,96319;1,776
44;Harinni_IOE_t4;1;1,5;190;0,834;1,67422
45;Harinni_IOE_t5;1;1,5;190;0,8125;1,35507
46;Jarich__IOE_t1;1;1,5;200;0,972336;1,966505
47;Jarich__IOE_t2;1;1,5;185;0,758;1,83
48;Jarich__IOE_t3;1;1,5;230;0,53477;1,700169
49;Jarich__IOE_t4;1;1,5;200;0,97166;1,2347
50;Jarich__IOE_t5;1;1,5;185;0,82;1,751256
51;Jasper__IOE_t1;1;1,5;180;0,992186;1,0646
52;Jasper__IOE_t2;1;1,5;160;0,99348;1,75
53;Jasper__IOE_t3;1;1,5;160;0,9502;1,16226
54;Jasper__IOE_t4;1;1,5;200;0,900889;1,99802
55;Jasper__IOE_t5;1;1,5;200;0,822059;1,725
56;Sjoerd__IOE_t1;1;1,5;160;0,9955;1,91
